country_code_3,country_name,Emissions_Baseline_Year,CO2_Per_Capita_Tonnes
TJK,Tajikistan,2024,1.01
TKM,Turkmenistan,2024,10.81
TLS,East Timor,2024,0.48
TON,Tonga,2024,1.46
TTO,Trinidad and Tobago,2024,22.93
TUN,Tunisia,2024,2.66
TUR,Turkey,2024,5.87
TUV,Tuvalu,2024,1.18
TWN,Taiwan,2024,11.3
TZA,Tanzania,2024,0.29
UGA,Uganda,2024,0.13
UKR,Ukraine,2024,3.76
URY,Uruguay,2024,2.35
USA,United States,2024,14.2
UZB,Uzbekistan,2024,3.83
VCT,Saint Vincent and the Grenadines,2024,2.54
VEN,Venezuela,2024,4.09
VGB,British Virgin Islands,2024,4.87
VNM,Vietnam,2024,3.67
VUT,Vanuatu,2024,0.6
WLF,Wallis and Futuna,2024,2.7
WSM,Samoa,2024,1.13
YEM,Yemen,2024,0.25
ZAF,South Africa,2024,6.87
ZMB,Zambia,2024,0.57
ZWE,Zimbabwe,2024,0.82
