country_code_3,country_name,year,v2x_partipdem,v2x_delibdem,v2x_cspart,v2xeg_eqaccess,v2x_libdem,transition_capacity_score
MEX,Mexico,2025,0.42925573929217514,0.28368745241885246,0.00024521072796934864,0.7805015641827786,0.24994909156730094,0.33285243843586265
SUR,Suriname,2025,0.6483807679567865,0.0006459501234226127,0.8467432950191571,0.9056361864711011,0.7081249858587687,0.5736695143733641
SWE,Sweden,2025,0.8089025912808622,0.9423258818372665,0.9591315453384419,0.9476896251089799,0.9649297463628753,0.9165263330679989
CHE,Switzerland,2025,0.9999999999999999,0.9826977645511799,0.9918263090676884,0.9466639314836658,0.9536167613186416,0.9790818068716787
GHA,Ghana,2025,0.4598313246872372,0.6724110088356747,0.9121328224776502,0.7343453510436433,0.6854990157703011,0.6784638028983496
ZAF,South Africa,2025,0.0005223329171656432,0.750847809536992,0.7925925925925926,0.7548592235499256,0.7160440753897324,0.5669965489730067
JPN,Japan,2025,0.6700384742782888,0.840819433870856,0.69757343550447,0.9415354633570953,0.8303052243364935,0.7830052672922185
MMR,Burma/Myanmar,2025,0.05215685275307666,0.04030267377211802,0.13052362707535123,0.19585619775373098,0.016901599656085255,0.08113327665784136
RUS,Russia,2025,0.15789741891099954,0.06798625049023,0.20613026819923375,0.29842556028514283,0.06328483833744372,0.1519535307835421
ALB,Albania,2025,0.00029301602670267783,0.2721526287863058,0.6076628352490422,0.6861377506538797,0.43208815077946466,0.3573778634680622
EGY,Egypt,2025,0.09674624812087547,6.920894179527994e-05,0.21634738186462327,0.42663726344940767,0.13003145009842296,0.1509736476707669
YEM,Yemen,2025,0.09165031722169847,0.04491660322513668,0.2694763729246488,0.0881583670957485,0.04857795777993981,0.1085474534279918
COL,Colombia,2025,0.5948734935154278,0.5282257134288416,0.8038314176245211,0.6338273757628596,0.6278027920447089,0.6307856104321069
POL,Poland,2025,0.661120595204729,0.7531547742635014,0.7445721583652618,0.0008923534540232833,0.7296196574428129,0.6120600756746354
BRA,Brazil,2025,0.6725864397278772,0.8154428218792533,0.8835249042145594,0.7989640494384328,0.7963662692037922,0.7880118440410283
USA,United States of America,2025,0.0005732922261574133,0.5547558077836989,0.9836526181353769,0.6286989076362891,0.645903568115483,0.5267531699923053
PRT,Portugal,2025,0.6738604224526715,0.7969871040671787,0.7261813537675607,0.7569106108005539,0.8110731497612961,0.7481457164677522
SLV,El Salvador,2025,0.20248681427879836,0.14411608646503793,0.41558109833971907,0.3456074670495923,3.393895513270131e-05,0.22161315575461163
BGD,Bangladesh,2025,0.12604785079114325,0.18333448681569658,0.7108556832694763,0.0004000205138725063,0.13116274860284635,0.23925113642311308
BOL,Bolivia,2025,0.5273524091013325,0.2744595935128151,0.8630906768837804,0.7805015641827786,0.3981491956467634,0.5498687500047242
HTI,Haiti,2025,0.15152750528702827,0.22485985189286453,0.4881226053639847,0.00020513872506282375,0.11079937552322557,0.20837203750501343
