country_code_3,carbon_leakage_risk_score,leakage_index,carbon_intensity,Electricity_Access_Pct,PM25_Exposure_Micrograms,CO2_Per_Capita_Tonnes,EPI_Master_Score,Biodiversity_Habitat_Score,Public_Environmental_Priority_Avg,Trust_In_Government_Avg
DNK,-0.1704931688263084,-2.4218934582078635,0.0703966428616017,100.0,9.07,4.75,67.7,53.1,,
DOM,4.188248540694989,12.822426822206252,0.326634622195048,99.6,19.83,2.9,47.7,57.0,,
DZA,-1.1343472734021192,-1.3580163836705748,0.835297193054548,100.0,25.55,4.23,41.7,33.0,,
EAR,2.0534595263134623,3.157101465152511,0.650425571993539,95.7,37.42,,,,,
ECU,-1.743175034427675,-3.95424704528334,0.440836147682515,98.7,16.66,2.54,51.3,49.8,1.434,2.913
EGY,6.79953745882723,11.24222742126703,0.604821198151932,100.0,54.86,2.22,43.7,47.5,,
ERI,,,,54.4,32.35,0.21,29.0,16.6,,
ESP,0.4263594774796112,2.76755833997508,0.154056184226075,100.0,9.58,4.6,64.0,66.9,,
EST,3.2550590774630104,8.42278958475073,0.38645855327506,100.0,6.15,6.11,75.7,78.8,,
ETH,,,,55.4,27.31,0.14,36.3,45.8,1.533,2.201
FCS,1.258548456919145,2.2181247595153515,0.567392997855599,58.95,38.15,,,,,
FIN,0.1087153677598691,0.8888203311746383,0.122314222511308,100.0,4.9,5.3,73.8,59.1,,
FJI,9.186319707011844,33.60976740501636,0.273322918195523,99.3,12.42,1.56,46.0,17.0,,
FRA,0.3552190582391353,3.5209429433058292,0.100887479280087,100.0,9.6,3.97,67.0,61.5,,
FRO,,,,100.0,,13.09,,,,
FSM,0.0136898636024134,22.69713685504996,0.0006031537673602,86.9,12.11,1.33,40.8,4.4,,
GAB,-13.49001647594984,-43.60943309439685,0.30933712086441,94.1,29.95,2.13,53.3,64.0,,
GBR,0.733153358306934,8.324253637383913,0.0880743656121156,100.0,9.91,4.53,72.6,71.5,1.345,3.049
GEO,16.353098754816614,30.583718617724525,0.534699490249015,100.0,17.04,3.09,47.3,44.4,,
GHA,-1.9473859392212651,-6.012656359913996,0.323881130510695,89.5,54.24,0.61,36.9,45.0,,
GIB,,,,100.0,,,,,,
GIN,-5.312338553749306,-15.749394138171006,0.337304311971853,51.1,43.77,0.27,36.5,61.0,,
GMB,11.6312868872851,49.49113150099557,0.235017598800527,66.9,58.36,0.29,37.6,38.3,,
GNB,2.2266249439720314,11.368643459600753,0.195856695821669,40.5,50.21,0.16,42.0,53.8,,
GNQ,-5.793368200789682,-11.452494606943924,0.505860810209596,66.9,35.38,3.7,41.7,45.3,,
GRC,3.4465150340715947,14.680055105492382,0.234775347183957,100.0,14.41,5.31,67.3,62.4,1.472,3.34
GRD,6.347025855180188,43.12091991253232,0.147191337013558,94.4,24.66,3.22,45.8,21.0,,
GRL,,,,100.0,6.56,11.08,,,,
GTM,3.832158116528382,15.801294537678412,0.242521782464756,100.0,21.64,1.08,32.5,36.0,1.549,3.323
GUM,,,,100.0,9.58,,,,,
GUY,-7.2036256077583,-52.20265861468759,0.137993462381464,98.9,25.46,5.43,49.0,56.5,,
HKG,1.481195109716601,14.395241951493135,0.102894770001623,100.0,,4.49,,,1.51,2.502
HND,7.93568754722186,17.98425103223871,0.441257605501407,95.6,20.31,1.19,40.2,50.4,,
HPC,1.1395827590165255,3.7307037246838224,0.305460535897448,50.53,36.16,,,,,
HRV,5.822448512635349,21.516073437022865,0.270609250785351,100.0,16.12,4.76,62.3,69.6,,
HTI,2.381176032905062,9.213390897923556,0.258447303418084,51.3,21.35,0.25,36.4,30.0,,
HUN,-1.011423520830332,-3.747789583871423,0.269872013408379,100.0,14.14,4.14,59.8,66.9,,
IBD,-1.0832707949149525,-1.5739832146164212,0.68823529047541,99.09,32.96,,,,,
IBT,-0.7465241731644967,-1.1200885319266762,0.666486756971248,90.31,34.53,,,,,
IDA,1.9906829561260284,5.287207951037566,0.376509298397347,67.5,38.84,,,,,
IDB,1.4149449729388557,3.491116121877206,0.405298742162156,77.92,44.34,,,,,
IDN,-1.4584869745291114,-2.223519144646923,0.655936324200486,99.4,17.88,2.87,33.6,30.7,1.323,1.853
IDX,2.1924419413402845,6.3082186001807,0.347553260325741,61.92,35.87,,,,,
IMN,,,,100.0,,,,,,
IND,6.385221988460116,7.041172946917669,0.906840669388088,99.5,48.39,2.2,27.6,11.2,1.457,2.174
IRL,-1.0899654350997952,-17.059888387869783,0.063890537283632,100.0,8.17,6.34,65.8,62.5,,
IRN,-15.322129659438936,-9.874427737156724,1.5516979887131,100.0,32.29,8.66,41.8,42.8,1.395,2.589
IRQ,-6.021930064403291,-4.856221902233667,1.24004425366836,100.0,38.18,5.07,30.3,20.0,1.597,3.274
ISL,1.2333929941719823,8.585651274311585,0.143657476266514,100.0,5.11,9.67,64.3,54.8,,
ISR,0.7483022917930878,5.416189397205019,0.138160288888576,100.0,18.6,5.61,48.0,29.6,,
ITA,-0.3664105639438355,-2.4901649444509992,0.147143089762119,100.0,14.66,5.09,60.3,58.5,,
JAM,12.687808765855364,27.19980718958519,0.466466864173711,97.7,17.41,2.96,48.5,38.2,,
JOR,13.291622209930097,25.54716978023958,0.520277679455945,100.0,28.77,2.01,47.3,32.8,1.488,2.811
JPN,0.1913052075918732,0.9062863724956812,0.211086929471385,100.0,12.84,7.77,61.4,47.4,1.627,2.609
KAZ,-8.56577117733789,-8.092060780389538,1.05854014321004,100.0,20.03,13.94,47.8,50.2,1.543,2.113
KEN,1.962322506360945,9.518975531598532,0.206148497792326,76.2,24.39,0.38,36.9,43.8,1.535,2.573
KGZ,51.29474757203559,47.97960531245391,1.06909482139323,100.0,24.38,1.64,42.8,37.0,1.351,2.529
KHM,2.219940066719808,4.396728407917951,0.50490725393044,95.0,24.14,1.24,31.2,56.9,,
KIR,29.312447533518306,101.01910844404108,0.290167355315314,95.9,11.26,0.54,44.3,30.5,,
KNA,4.2005037791733395,31.593311204011098,0.132955477570836,100.0,8.59,5.54,,,,
KOR,,,,100.0,25.94,11.29,50.6,32.8,1.427,2.523
KWT,-24.09807592486792,-24.29673754709193,0.991823526848452,100.0,53.72,26.25,44.4,50.5,,
LAO,-5.400632836451245,-4.381039386728475,1.23272866544214,96.5,22.32,3.14,26.3,50.6,,
LBN,,,,100.0,19.23,2.7,39.9,23.6,1.628,3.09
LBR,1.7750618805725102,7.6421052631578945,0.23227393754048,32.5,42.36,0.15,34.3,25.7,,
LBY,-25.50245345111535,-22.651893008490543,1.12584204073171,73.2,32.97,8.84,,,1.521,2.936
LCA,4.936587625441118,34.20864892981739,0.14430817292928,100.0,23.76,2.99,51.1,30.0,,
LIE,,,,100.0,,3.3,,,,
LKA,1.5599295961006956,6.133593991280843,0.254325538716485,100.0,19.96,0.9,38.8,32.9,,
LMY,-0.7000188873221843,-1.070025977260675,0.654207376454795,90.49,35.52,,,,,
LSO,16.41001800326084,37.99181607259553,0.431935603496928,57.3,23.44,1.1,36.9,59.1,,
LTE,-3.14639552729985,-4.722717024336631,0.666225715215661,99.46,28.24,,,,,
LTU,1.3947989963539624,5.930301075078781,0.235198681937988,100.0,9.22,4.39,64.1,74.9,,
LUX,0.9656414645665649,9.526024076167154,0.101368782699434,100.0,8.67,10.46,75.1,84.8,,
LVA,1.5714279604511383,7.054102508613504,0.222767950782162,100.0,11.6,3.45,60.2,68.4,,
MAC,1.1380534566800702,28.56134394615607,0.0398459350801395,100.0,,1.47,,,1.398,2.224
MAF,,,,100.0,,,,,,
