country_code_3,carbon_leakage_risk_score,leakage_index,carbon_intensity,Electricity_Access_Pct,PM25_Exposure_Micrograms,CO2_Per_Capita_Tonnes,EPI_Master_Score,Biodiversity_Habitat_Score,Public_Environmental_Priority_Avg,Trust_In_Government_Avg,score_distributional,score_spatial,score_institutional,score_scale
AFG,2.027031470861436,,0.42193568597923525,85.3,46.09,0.25,31.0,31.7,,2.667892307692308,0.15053910692176165,0.15033012663451367,0.018930013023171766,0.14493776482582432
AGO,-7.990419278214671,-30.654150907795007,0.260663533048074,51.1,25.15,0.59,40.1,41.5,,2.667892307692308,0.5038128825576778,0.29067263301782165,0.14220039571249965,0.11676181958997767
ALB,5.628672780510081,20.649255322643352,0.272584782964926,100.0,15.71,1.59,52.2,50.3,,2.667892307692308,0.03736050460941287,0.29997463870906727,0.025390215113814785,0.2773230423044506
AND,2.027031470861436,,0.42193568597923525,100.0,9.08,5.18,,47.477777777777774,1.343,2.558,0.12445414847161573,0.41737878879059587,0.07713568447036878,0.14493776482582432
ARE,-4.882049277096853,-11.126672055979911,0.438769944196661,100.0,36.31,20.13,51.6,59.0,,2.667892307692308,0.4871421639980591,0.06396203543703116,0.10395014929994217,0.049991275573434635
ARG,-0.9383669962521828,-2.9887881714216493,0.313962362814705,100.0,14.91,3.74,47.0,34.7,1.579,2.921,0.08951965065502188,0.5020654407276539,0.07864036365117477,0.17211354300569126
ARM,7.080163994251093,15.41499137483272,0.459303792139029,100.0,30.58,2.5,44.9,47.6,1.521,2.897,0.059437166424065935,0.1478606246614912,0.164601046638425,0.1850852349880555
ASM,2.027031470861436,,0.42193568597923525,87.99670833333333,6.72,4.587298578199053,,47.477777777777774,,2.667892307692308,0.01680951820489085,0.4467978862725206,0.018930013023171766,0.14493776482582432
ATG,7.350442961423726,35.50857333111378,0.207004739190212,100.0,19.7,7.09,55.6,52.5,,2.667892307692308,0.17079087821445893,0.22314282275466601,0.046577568505482114,0.33717979557442834
AUS,-0.5821965814178712,-2.53904633767346,0.229297343959205,100.0,8.25,14.48,63.1,55.2,1.326,2.819,0.3500727802037845,0.33262407689199514,0.028997817806067472,0.22641931330275045
AUT,-0.0506897196038632,-0.3684515969993547,0.137574975971544,100.0,10.93,6.18,68.9,74.3,,2.667892307692308,0.14871421639980587,0.06399427436618266,0.04449754439276743,0.28704407708375423
AZE,-4.8010004491656755,-7.395458179314056,0.649182286311161,100.0,21.73,3.85,40.5,36.7,,2.667892307692308,0.09218825812712272,0.3924186934206792,0.10295279774954702,0.07308141809463176
BDI,10.076003005195057,39.26231685037919,0.256632919641311,11.6,29.65,0.07,33.5,51.6,,2.667892307692308,0.9339756865906963,0.11019265984061066,0.08011712243535007,0.3414559967427593
BEL,-0.5210549717811405,-3.2123308169023117,0.162204642510512,100.0,11.22,7.28,66.8,66.2,,2.667892307692308,0.17540029112081512,0.1601329103585828,0.05028565417159547,0.2667330367082861
BEN,2.496588520009938,6.786874180778825,0.367855429982856,57.0,51.05,0.42,37.8,63.9,,2.667892307692308,0.44556922941202415,0.3080515650925473,0.013151848638550678,0.18260445694350735
BES,2.027031470861436,,0.42193568597923525,87.99670833333333,24.339155555555553,4.95,,47.477777777777774,,2.667892307692308,0.008010357074348717,0.2271624393072308,0.018930013023171766,0.14493776482582432
BFA,1.2217138220588213,3.3935170193901696,0.36001405476327,21.7,58.47,0.28,42.2,73.3,,2.667892307692308,0.8221157446302161,0.5163107488888315,0.028839901001759927,0.17154008667181508
BGD,1.689749541150638,4.584338926788368,0.368591757314597,99.5,42.38,0.62,28.1,29.1,1.524,1.893,0.008542826456912067,0.2285976495671384,0.43351070516010937,0.17224167130247814
BGR,3.3647787307713335,6.419993437788246,0.524109372287853,100.0,17.15,4.68,56.2,69.2,,2.667892307692308,0.11232411450752056,0.04926538226772925,0.002468278316275274,0.10115258743120137
BHR,-16.812604889821674,-18.157936375285523,0.925909450410072,100.0,58.5,24.27,35.3,25.8,,2.667892307692308,0.5875788452207665,0.0682906489911364,0.2507623665911064,0.3840636954280022
BHS,2.8898032579131425,26.994593502096915,0.107051186293606,100.0,18.94,7.65,55.9,46.4,,2.667892307692308,0.18437651625424545,0.3077399221107472,0.008313119461381246,0.34122691374100655
BIH,23.52091681751693,24.54540183175529,0.958261632005024,100.0,26.6,6.14,46.0,45.8,,2.667892307692308,0.1477438136826783,0.21964167504878807,0.24556437167915623,0.09318651627987218
BLR,6.1822301263832635,7.073286005576944,0.87402518737527,100.0,14.61,6.16,58.2,70.4,,2.667892307692308,0.14822901504124208,0.06614998409546147,0.03220205053737013,0.07050562207116873
BLZ,4.102352422585096,27.675198070338453,0.148232088968566,99.6,28.65,1.91,47.4,57.8,,2.667892307692308,0.040895396536708595,0.046303699309657054,0.006607982054642747,0.33186561620346644
BMU,0.4536551355087751,13.39613817064208,0.0338646205145129,100.0,7.34,8.51,,47.477777777777774,,2.667892307692308,0.205240174672489,0.43906914032387934,0.03829129643064366,0.35440333708817806
BOL,1.279608430360568,1.7012864450694851,0.752141671421067,99.8,22.88,2.31,45.3,63.5,1.282,2.951,0.05271358861284725,0.048033855174133167,0.12182363302774624,0.05896629645321161
BRA,-0.6570345291674252,-2.7113734258797826,0.242325355443886,99.8,12.18,2.28,53.0,62.3,1.385,3.304,0.051985786575001525,0.19619537650770713,0.284962487860438,0.21781639792203156
BRB,2.762897686880003,23.628750872295885,0.116929485685146,100.0,23.73,4.83,53.1,12.2,,2.667892307692308,0.11596312469674919,0.6692113928077099,0.00987476410516508,0.3338405107210105
BRN,-17.490640266328203,-25.544626988881248,0.684709166978297,100.0,7.6,26.05,48.3,47.3,,2.667892307692308,0.6307617661329451,0.43801743481288524,0.2591059744043587,0.25018308877097684
BTN,2.027031470861436,,0.42193568597923525,100.0,23.95,2.09,43.3,65.7,,2.667892307692308,0.04949053857350805,0.007601939493977694,0.018930013023171766,0.14493776482582432
BWA,5.147941417299111,13.045870669267009,0.394603131351474,76.0,18.91,2.96,49.2,85.6,,2.667892307692308,0.18310299091247606,0.17464472700074796,0.01947454449080288,0.19945901613505668
CAF,2.430448482601036,14.973408460177264,0.162317650591378,17.6,34.43,0.07,39.0,71.5,,2.667892307692308,0.8705507394448189,0.19446736990517466,0.013965739110957887,0.3029863163350789
CAN,0.0768110789021551,0.2437029392540018,0.315183227322909,100.0,6.57,13.42,61.1,52.9,1.388,2.587,0.3243571081999028,0.3818916084216679,0.085774077094811,0.1838859967979377
CEB,0.5504042178810863,1.5633506269084818,0.352067033720713,100.0,15.74,4.587298578199053,,47.477777777777774,,2.667892307692308,0.11007517171758985,0.3343570984390626,0.03710074439224442,0.16796521963705957
CHE,-0.3429086164565316,-8.245457189257158,0.0415875807230314,100.0,9.06,3.59,67.8,59.8,,2.667892307692308,0.08588064046579325,0.26587659797625485,0.04809346277024529,0.34004731229777385
CHI,2.027031470861436,,0.42193568597923525,100.0,24.339155555555553,4.587298578199053,,47.477777777777774,,2.667892307692308,0.11007517171758985,0.2271624393072308,0.018930013023171766,0.14493776482582432
CHL,-1.2186602174117105,-4.512407779534013,0.270068725379593,100.0,23.28,3.98,49.6,42.5,1.463,2.817,0.09534206695778746,0.30166825712050466,0.02010645167811287,0.19454634515636826
CHN,-3.7561094136329767,-5.2910340071407855,0.709900826296661,100.0,34.81,8.66,35.4,9.5,1.363,1.559,0.20887918486171753,0.5643424548010213,0.6774318514742584,0.09602624918939295
CIV,-0.9129121460603566,-3.712802042852574,0.2458822569918,72.4,49.5,0.46,42.9,56.2,,2.667892307692308,0.2818081290204779,0.19390211401404778,0.05510767776251879,0.2125703456064384
CMR,1.0695432062765076,4.481092884232503,0.238679097690628,72.0,39.81,0.33,38.6,45.2,,2.667892307692308,0.28919026766086786,0.06235868602721806,0.030712446274147376,0.2412129339334399
COD,-0.478220436525988,-4.664353434151853,0.102526629526938,22.1,26.65,0.05,39.5,52.0,,2.667892307692308,0.8234672304439746,0.1426637092822325,0.04975855105070326,0.30244939581583896
COG,-13.35717593108119,-16.80026965396772,0.795057234568055,51.3,28.57,1.4,41.6,71.6,,2.667892307692308,0.48204806263098127,0.12264978206483901,0.20824136391594872,0.26438543014502447
COK,2.027031470861436,,0.42193568597923525,87.99670833333333,24.339155555555553,5.82,,47.477777777777774,,2.667892307692308,0.013095902023176675,0.2271624393072308,0.018930013023171766,0.14493776482582432
COL,0.9100091719352654,3.47420294949265,0.261933221853996,98.7,14.18,1.75,49.7,55.5,1.309,3.117,0.027500043596316637,0.25500778032823523,0.20519923446149468,0.22553793827205781
COM,7.792893042352013,21.213785266846216,0.367350425410927,89.8,11.93,0.64,38.2,49.0,,2.667892307692308,0.0935089700703593,0.3631049097739836,0.05202216635408996,0.24807624886047241
CPV,18.069565019429504,62.40065808348216,0.289573308590036,98.6,42.32,1.13,38.0,19.2,,2.667892307692308,0.011401719028407253,0.35126677498946857,0.1784824124904506,0.42039792262962083
