Year,Number,Name,any_item_aggregated,NorthSouth,NorthNorth,SouthSouth,polity2max,competition,epimax,so2popmin_ln
1991,790,El Salvador Guatemala,0,0,0,1,17.0,,42.8905789731295,1.2290412357962792
1982,792,Brazil Uruguay,1,0,0,1,7.0,0.995121951219512,,0.0108718407476267
1999,793,EC Switzerland Bilaterals I,26,0,1,0,20.0,1.0,63.0434860151788,0.0203596529583326
2012,795,Australia Malaysia,29,1,0,0,20.0,0.0,65.4288898376508,
2013,797,Canada Honduras,89,1,0,0,20.0,0.0,58.5178225861986,
2009,798,Canada Panama,95,1,0,0,20.0,0.991212653778559,52.2347060491795,
2012,799,Central America EC,132,1,0,0,20.0,0.997828619849592,81.4296514882157,
2010,800,Chile Malaysia,36,0,0,1,20.0,0.0,53.6993075000212,
2010,804,China Costa Rica,47,0,0,1,20.0,0.952380952380952,52.3459860082576,0.056278249886734
2013,805,Colombia Costa Rica,43,0,0,1,20.0,0.976485604878741,58.7087819437566,
2013,806,Colombia Israel,24,0,0,1,20.0,0.976485604878741,58.7087819437566,
2013,808,Colombia Korea,83,0,0,1,18.0,0.962987793769357,57.3958453060181,
2013,809,Colombia Panama,66,0,0,1,19.0,0.839616195823307,60.2431946167181,
2012,810,Colombia Peru EC,98,1,0,0,20.0,0.999043846469062,81.4296514882157,
2011,811,Commonwealth of Independent States (CIS),3,0,0,1,19.0,1.0,68.4112047717323,0.002853539909726
2011,813,Costa Rica Peru,34,0,0,1,20.0,0.994406943105111,61.4483281724441,
2010,814,Costa Rica Singapore,36,0,0,1,20.0,0.0,60.0350855174769,
2010,815,EC Korea,81,1,0,0,20.0,0.999338043996983,68.7511644563378,0.0010036881423092
2011,817,EFTA Hong Kong,54,1,0,0,20.0,0.902433148638882,97.94710926624,0.0555253782087624
2011,818,EFTA Montenegro,43,1,0,0,20.0,,97.94710926624,0.002853539909726
2010,819,EFTA Peru,28,1,0,0,20.0,0.631578947368421,97.94710926624,
2010,820,EFTA Ukraine,20,1,0,0,20.0,0.0,97.94710926624,
2011,823,Guatemala Peru,32,0,0,1,19.0,0.991660362011134,61.4483281724441,
2010,825,Hong Kong New Zealand,55,1,0,0,20.0,0.986800954147893,94.030371570776,0.0001471345836649
2011,826,India Japan,47,1,0,0,20.0,,65.9027440606936,0.0001474496237863
2011,827,India Malaysia,14,0,0,1,19.0,,61.4455203042252,0.0001474496237863
2011,829,Japan Peru,36,1,0,0,20.0,0.937065832780027,65.9027440606936,0.0555253782087624
2011,830,Korea Peru,73,0,0,1,19.0,0.906088087154668,61.4483281724441,0.0555253782087624
2012,831,Korea Turkey,54,0,0,1,19.0,0.981086782570743,55.2248062382785,
2011,832,Mauritius Turkey,6,0,0,1,20.0,0.769936485532816,42.4691084229345,0.0039240301086593
2011,833,Montenegro Ukraine,7,0,0,1,19.0,0.0,55.1848017141059,0.002853539909726
2013,834,New Zealand Taiwan,70,1,0,0,20.0,,67.6030484948628,
2012,836,Pacific Alliance,0,0,0,1,20.0,0.998149643541056,61.778981107348,
2011,837,Panama Peru,37,0,0,1,19.0,0.985746317117897,61.4483281724441,
2012,838,Peru Venezuela,7,0,0,1,19.0,0.0,61.778981107348,
2015,840,Australia China,21,1,0,0,20.0,0.974209972881731,63.1699781940393,
2014,842,Australia Japan,18,0,1,0,20.0,0.996105561065286,68.8903744842528,
2013,844,Bosnia and Herzogovina EFTA,42,1,0,0,20.0,,97.94710926624,
2016,848,Canada EC (CETA),106,0,1,0,20.0,0.999749561733033,81.7216622025014,
2014,852,Canada Korea,62,1,0,0,20.0,0.998564838815943,58.3065169848914,
2012,858,Chile Hong Kong,37,0,0,1,20.0,0.94379124932705,94.030371570776,
2013,862,China Switzerland,49,1,0,0,20.0,,79.1126555546553,
2013,864,Central America EFTA,74,0,0,1,20.0,0.0,97.94710926624,
2014,866,EC Georgia,101,1,0,0,20.0,0.997699386503067,81.7216622025014,
2014,872,EC Moldova,114,1,0,0,20.0,0.99897871003221,81.7216622025014,
2014,876,EC Ukraine,116,1,0,0,20.0,0.999278880242827,81.7216622025014,
1995,906,Armenia Cyprus,0,0,0,1,20.0,,50.3745094603253,0.8155717790816592
2014,911,Australia Korea,66,1,0,0,20.0,0.998806837224891,68.8903744842528,
