country_code_3,country_name,PM25_Exposure_Micrograms
HPC,Heavily indebted poor countries (HIPC),36.16
HIC,High income,12.88
IBD,IBRD only,32.96
IBT,IDA & IBRD total,34.53
IDB,IDA blend,44.34
IDX,IDA only,35.87
IDA,IDA total,38.84
LTE,Late-demographic dividend,28.24
LCN,Latin America & Caribbean,15.64
LAC,Latin America & Caribbean (excluding high income),15.48
TLA,Latin America & the Caribbean (IDA & IBRD countries),15.59
LDC,Least developed countries: UN classification,35.88
LMY,Low & middle income,35.52
LIC,Low income,36.44
LMC,Lower middle income,42.91
MEA,"Middle East, North Africa, Afghanistan & Pakistan",39.72
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",39.19
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",39.27
MIC,Middle income,35.43
NAC,North America,7.69
OED,OECD members,12.23
OSS,Other small states,16.76
PSS,Pacific island small states,12.88
PST,Post-demographic dividend,11.0
PRE,Pre-demographic dividend,40.71
SST,Small states,18.1
SAS,South Asia,47.32
TSA,South Asia (IDA & IBRD),47.32
SSF,Sub-Saharan Africa,38.18
SSA,Sub-Saharan Africa (excluding high income),39.41
TSS,Sub-Saharan Africa (IDA & IBRD countries),38.18
UMC,Upper middle income,27.45
WLD,World,31.32
