country_code_3,exports,imports,gdp,leakage_index,carbon_intensity,carbon_leakage_risk_score
AGO,39410000000.0,14765000000.0,80396942241.6233,-30.654150907795007,0.260663533048074,-7.990419278214671
ALB,4000000000.0,9612000000.0,27177735527.5667,20.649255322643352,0.272584782964926,5.628672780510081
ARE,603646000000.0,543887000000.0,537078829135.466,-11.126672055979913,0.438769944196661,-4.882049277096853
ARG,79703000000.0,60776000000.0,633266692533.689,-2.9887881714216493,0.313962362814705,-0.9383669962521827
ARM,13092000000.0,17067000000.0,25786585949.6346,15.41499137483272,0.459303792139029,7.080163994251093
ATG,33000000.0,823000000.0,2224814814.81481,35.50857333111378,0.207004739190212,7.350442961423726
AUS,340829000000.0,296340000000.0,1752193307380.34,-2.53904633767346,0.229297343959205,-0.5821965814178712
AUT,213927000000.0,212005000000.0,521642466921.745,-0.3684515969993547,0.137574975971544,-0.05068971960386324
AZE,26554000000.0,21058000000.0,74315882352.9412,-7.395458179314056,0.649182286311161,-4.8010004491656755
BDI,174000000.0,1023000000.0,2162378759.3467,39.26231685037919,0.256632919641311,10.076003005195055
BEL,535741000000.0,514393000000.0,664564181486.953,-3.2123308169023117,0.162204642510512,-0.5210549717811405
BEN,3772000000.0,5230000000.0,21482643720.2743,6.786874180778825,0.367855429982856,2.496588520009938
BFA,5640000000.0,6429000000.0,23250214909.5391,3.3935170193901696,0.36001405476327,1.2217138220588213
BGD,47245000000.0,67880000000.0,450119424622.389,4.584338926788368,0.368591757314597,1.689749541150638
BGR,46604000000.0,53808000000.0,112211952703.831,6.419993437788246,0.524109372287853,3.3647787307713335
BHR,24278000000.0,15610000000.0,47736702127.6596,-18.157936375285523,0.925909450410072,-16.812604889821674
BHS,670000000.0,4944000000.0,15832800000.0,26.994593502096915,0.107051186293606,2.8898032579131425
BIH,8890000000.0,15847000000.0,28343394203.4694,24.54540183175529,0.958261632005024,23.52091681751693
BLR,40327000000.0,45700000000.0,75961865471.9129,7.073286005576944,0.87402518737527,6.1822301263832635
BLZ,482000000.0,1455000000.0,3515783328.91079,27.675198070338453,0.148232088968566,4.102352422585096
BMU,68000000.0,1271000000.0,8980200000.0,13.39613817064208,0.0338646205145129,0.4536551355087751
BOL,9059000000.0,9904000000.0,49668296743.8495,1.7012864450694851,0.752141671421067,1.279608430360568
BRA,337046000000.0,277954000000.0,2179412080828.59,-2.7113734258797826,0.242325355443886,-0.6570345291674252
BRB,461000000.0,2154000000.0,7165000000.0,23.628750872295885,0.116929485685146,2.762897686880003
BRN,11244000000.0,7294000000.0,15463134387.2013,-25.544626988881248,0.684709166978297,-17.490640266328203
BWA,4648000000.0,7179000000.0,19400774882.4495,13.045870669267007,0.394603131351474,5.147941417299111
CAF,121000000.0,533000000.0,2751544520.37918,14.973408460177263,0.162317650591378,2.430448482601036
CAN,568747000000.0,574209000000.0,2241253230970.34,0.24370293925400183,0.315183227322909,0.07681107890215513
CEB,1247114000000.0,1285503000000.0,2455559190577.36,1.5633506269084818,0.352067033720713,0.5504042178810863
CHE,446648000000.0,369424000000.0,936564198048.516,-8.245457189257158,0.0415875807230314,-0.3429086164565316
CHL,99164000000.0,84261000000.0,330267137371.592,-4.512407779534013,0.270068725379593,-1.2186602174117103
CHN,3576653000000.0,2584912000000.0,18743803170827.2,-5.2910340071407855,0.709900826296661,-3.7561094136329767
CIV,20148000000.0,16935000000.0,86538413923.3943,-3.712802042852574,0.2458822569918,-0.9129121460603566
CMR,5900000000.0,8200000000.0,51326764684.8595,4.481092884232503,0.238679097690628,1.0695432062765076
COD,29900000000.0,26600000000.0,70749355652.1207,-4.664353434151853,0.102526629526938,-0.47822043652598806
COG,7859000000.0,5218000000.0,15719985776.3966,-16.80026965396772,0.795057234568055,-13.35717593108119
COL,49564000000.0,64105000000.0,418542042920.189,3.47420294949265,0.261933221853996,0.9100091719352654
COM,30000000.0,358000000.0,1546164420.32442,21.213785266846216,0.367350425410927,7.792893042352013
CPV,75000000.0,1802000000.0,2767599017.44874,62.40065808348216,0.289573308590036,18.069565019429504
CRI,21688000000.0,26484000000.0,95350423176.664,5.029867556134528,0.109832618110061,0.5524435224371094
CSS,30990000000.0,28357000000.0,91570798875.9048,-2.875370786672067,0.437597027297643,-1.2582537086261816
CYP,4418000000.0,13325000000.0,36333022329.4981,24.51488874012161,0.231286390222323,5.669960123404599
CZE,263063000000.0,233027000000.0,345036675975.047,-8.705161535399268,0.348716771332753,-3.0356358245545034
DEU,1681655000000.0,1421796000000.0,4659929336890.62,-5.57645795061333,0.157717679395759,-0.8795060072187645
DJI,5169000000.0,5546000000.0,4086402718.86834,9.225718215663377,0.232655993822184,2.146418640188589
DMA,29000000.0,262000000.0,688881481.481481,33.82294433273479,0.138815863181137,4.695161212876126
DNK,133242000000.0,122841000000.0,429457372071.869,-2.4218934582078635,0.0703966428616017,-0.17049316882630847
DOM,13872000000.0,29808000000.0,124282245638.568,12.822426822206252,0.326634622195048,4.188248540694989
DZA,49180000000.0,45600000000.0,263619794506.723,-1.3580163836705748,0.835297193054548,-1.1343472734021192
