Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Finland,FIN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,2.1354229,2.1560517,1.8972063,1.787685,1.8171611
Finland,FIN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.9717616,2.0110043,1.9092509,1.8669036,1.9635191
French Guiana,GUF,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.4897219,1.4914946,1.2859047,1.2866922,1.2858591
French Guiana,GUF,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.1571758,1.1562185,1.059642,1.0599139,1.0605294
Gabon,GAB,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.8134549,-0.588664699999999,-0.5943568,-0.5840974,-0.5671547
Gabon,GAB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.8995732,-0.832492799999999,-0.760076299999999,-0.7404782,-0.723457799999999
Georgia,GEO,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.3081567,0.4515433,0.4424252,0.5876041,0.4562672
Georgia,GEO,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.8062149,0.8431074,0.7730594,0.8085223,0.6500428
Ghana,GHA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.0103657,-0.0445107,-0.0662946,-0.0177779,0.0595796
Ghana,GHA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.1601259,-0.1880837,-0.1621235,-0.159406,-0.0898549
Greenland,GRL,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.480273,0.4838322,0.7779131,0.7792725,1.3528493
Greenland,GRL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.5075802,1.5060874,1.3554833,1.3559072,1.5034927
Guam,GUM,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.7650002,0.7679093,0.952868,0.9540388,1.269394
Guam,GUM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.3974735,0.3953827,0.3898105,0.3904042,0.3917487
Guinea,GIN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.8118614,-0.808593999999999,-0.9248516,-0.8735118,-0.8881627
Guinea,GIN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.826735999999999,-0.912789299999999,-0.960537699999999,-0.959765699999999,-0.8917271
Guyana,GUY,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.2652471,-0.1426381,-0.1291709,-0.0976684999999999,-0.0982402
Guyana,GUY,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.5877644,-0.5733425,-0.647654699999999,-0.6656004,-0.4474838
Honduras,HND,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.582503099999999,-0.6672516,-0.686258199999999,-0.6579014,-0.6196728
Honduras,HND,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.5559791,-0.606984299999999,-0.6195218,-0.681674799999999,-0.6280335
Hungary,HUN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.7208016,0.784219,0.657731,0.5461907,0.501908
Hungary,HUN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.4381497,0.4002885,0.2882324,0.2375182,0.3350444
India,IND,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.3492894,0.2400136,0.3392526,0.422603,0.4046051
India,IND,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.1486534,-0.169914899999999,-0.087658,-0.1271699,-0.0960695999999999
"Iran, Islamic Rep.",IRN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.7071428,-0.6566521,-0.7076616,-0.7402272,-0.7061233
"Iran, Islamic Rep.",IRN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.39295869999999,-1.39362039999999,-1.3976255,-1.4684049,-1.5113535
Ireland,IRL,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.5003528,1.6184384,1.7057914,1.6609005,1.6115533
Ireland,IRL,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.4657053,1.621098,1.766517,1.7973082,1.7944361
Italy,ITA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.5477288,0.574774,0.7178718,0.8533467,0.7922891
Italy,ITA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.4717415,0.5735641,0.6011866,0.695748,0.6401491
Japan,JPN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.8051167,1.653038,2.0307507,1.9883877,2.0879101
Japan,JPN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.3671823,1.3955783,1.4106972,1.3978822,1.3296352
Jordan,JOR,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.1138845,0.1228638,0.1428514,0.3908884,0.2162114
Jordan,JOR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.1930478,0.1917529,0.2117071,0.3141122,0.2760104
Kenya,KEN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.3759713,-0.3468069,-0.3324798,-0.3131112,-0.2978904
Kenya,KEN,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.460141099999999,-0.424813499999999,-0.3909087,-0.3986548,-0.3335684
"Korea, Dem. People's Rep.",PRK,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.2548503,-1.4820228,-1.3350416,-1.2707438,-1.27131019999999
"Korea, Dem. People's Rep.",PRK,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.9455234,-1.9459904,-1.94723499999999,-1.8744885,-1.87415999999999
Kosovo,XKX,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.3716021,-0.1579456,-0.0237723,0.0092567999999999,-0.0612949999999999
Kosovo,XKX,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.3899511,-0.3739534,-0.468636799999999,-0.3899858,-0.2229473
"Yemen, Rep.",YEM,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-2.0039308,-1.9786346,-1.79929299999999,-1.8878464,-1.87279819999999
"Yemen, Rep.",YEM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.6085384,-1.6070255,-1.5789729,-1.54049179999999,-1.5841279
Virgin Islands (U.S.),VIR,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.4207953,0.4237045,0.3748592,0.37603,0.3747914
Virgin Islands (U.S.),VIR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.1078572,1.1057664,1.1001942,1.100788,1.1021324
