country_name,Agricultural_Area_K_Hectares,Forest_Area_K_Hectares
Syrian Arab Republic,13724.09,527.73
Tajikistan,3873.6,423.75
Thailand,23161.97,19992.52
Timor-Leste,341.4,1056.45
Togo,3820.0,1216.86
Tokelau,0.6,
Tonga,35.0,8.73
Trinidad and Tobago,54.0,227.11
Tunisia,9700.5,693.24
Turkmenistan,39695.88,2330.0
Turks and Caicos Islands,1.0,10.52
Tuvalu,1.8,1.03
Türkiye,38235.0,22513.06
Uganda,14415.0,2437.92
Ukraine,41311.0,9995.0
United Arab Emirates,391.16,323.74
United Kingdom of Great Britain and Northern Ireland,17224.6,3246.5
United Republic of Tanzania,39521.2,44572.5
United States Virgin Islands,3.3,20.28
United States of America,422395.77,309075.0
Uruguay,14131.62,1978.02
Uzbekistan,25681.02,3791.6
Vanuatu,187.0,913.4
Venezuela (Bolivarian Republic of),21500.0,47211.47
Viet Nam,12331.51,14733.65
Wallis and Futuna Islands,6.0,10.6
Western Sahara,5004.0,531.22
Yemen,23452.0,549.0
Zambia,23839.0,45117.18
Zimbabwe,16171.83,13898.51
